Current Age,Sex 0=Male/1=Female,Smoker Status 0=Non-Smoker/1=Smoker,RI_Rate
0,0,0,0.0004528
1,0,0,0.0004528
2,0,0,0.0004528
3,0,0,0.0004528
4,0,0,0.0004528
5,0,0,0.0004528
6,0,0,0.0004528
7,0,0,0.0004528
8,0,0,0.0004528
9,0,0,0.0004528
10,0,0,0.0004528
11,0,0,0.0004528
12,0,0,0.0004528
13,0,0,0.0004528
14,0,0,0.0004528
15,0,0,0.0004528
16,0,0,0.0004528
17,0,0,0.0004528
18,0,0,0.0004528
19,0,0,0.0004279
20,0,0,0.0004042
21,0,0,0.0003824
22,0,0,0.0003624
23,0,0,0.0003443
24,0,0,0.0003285
25,0,0,0.0003151
26,0,0,0.0003044
27,0,0,0.0002965
28,0,0,0.000292
29,0,0,0.0002909
30,0,0,0.0002936
31,0,0,0.0002988
32,0,0,0.0003079
33,0,0,0.0003212
34,0,0,0.0003403
35,0,0,0.0003641
36,0,0,0.0003949
37,0,0,0.0004322
38,0,0,0.0004754
39,0,0,0.0005273
40,0,0,0.000586
41,0,0,0.0006549
42,0,0,0.0007334
43,0,0,0.0008203
44,0,0,0.0009205
45,0,0,0.0010305
46,0,0,0.0011642
47,0,0,0.0013208
48,0,0,0.0014972
49,0,0,0.001695
50,0,0,0.0019169
51,0,0,0.0021656
52,0,0,0.0024435
53,0,0,0.0027539
54,0,0,0.0031076
55,0,0,0.0034937
56,0,0,0.0039234
57,0,0,0.0044012
58,0,0,0.0049319
59,0,0,0.0055209
60,0,0,0.006174
61,0,0,0.0068978
62,0,0,0.0077191
63,0,0,0.008631
64,0,0,0.0096428
65,0,0,0.0107651
66,0,0,0.0120095
67,0,0,0.0133884
68,0,0,0.0149155
69,0,0,0.0166066
70,0,0,0.0184778
71,0,0,0.0206037
72,0,0,0.0229624
73,0,0,0.0255065
74,0,0,0.0282377
75,0,0,0.0313313
76,0,0,0.0346461
77,0,0,0.0380719
78,0,0,0.0418108
79,0,0,0.0458843
80,0,0,0.0503016
81,0,0,0.0550686
82,0,0,0.0602004
83,0,0,0.0657153
84,0,0,0.0716312
85,0,0,0.0779653
86,0,0,0.0779653
87,0,0,0.0779653
88,0,0,0.0779653
89,0,0,0.0779653
90,0,0,0.0779653
91,0,0,0.0779653
92,0,0,0.0779653
93,0,0,0.0779653
94,0,0,0.0779653
95,0,0,0.0779653
96,0,0,0.0779653
97,0,0,0.0779653
98,0,0,0.0779653
99,0,0,0.0779653
100,0,0,0.0779653
101,0,0,0.0779653
102,0,0,0.0779653
0,1,0,0.0002492
1,1,0,0.0002492
2,1,0,0.0002492
3,1,0,0.0002492
4,1,0,0.0002492
5,1,0,0.0002492
6,1,0,0.0002492
7,1,0,0.0002492
8,1,0,0.0002492
9,1,0,0.0002492
10,1,0,0.0002492
11,1,0,0.0002492
12,1,0,0.0002492
13,1,0,0.0002492
14,1,0,0.0002492
15,1,0,0.0002492
16,1,0,0.0002492
17,1,0,0.0002492
18,1,0,0.0002492
19,1,0,0.0002415
20,1,0,0.0002373
21,1,0,0.0002352
22,1,0,0.0002233
23,1,0,0.0002051
24,1,0,0.0001848
25,1,0,0.0001678
26,1,0,0.0001715
27,1,0,0.0001783
28,1,0,0.000189
29,1,0,0.0002031
30,1,0,0.0002191
